08:57:23.619 > Connected to server
08:57:23.629 > [0] time consumed: 55
08:57:23.684 > [1] time consumed: 56
08:57:23.739 > [2] time consumed: 55
08:57:23.796 > [3] time consumed: 56
08:57:23.852 > [4] time consumed: 56
08:57:23.908 > [5] time consumed: 58
08:57:23.965 > [6] time consumed: 56
08:57:24.021 > [7] time consumed: 56
08:57:24.078 > [8] time consumed: 57
08:57:24.134 > [9] time consumed: 57
08:57:24.191 > [10] time consumed: 55
08:57:24.247 > [11] time consumed: 57
08:57:24.305 > [12] time consumed: 56
08:57:24.362 > [13] time consumed: 56
08:57:24.418 > [14] time consumed: 57
08:57:24.474 > [15] time consumed: 56
08:57:24.530 > [16] time consumed: 57
08:57:24.588 > [17] time consumed: 58
08:57:24.645 > [18] time consumed: 57
08:57:24.702 > [19] time consumed: 56
08:57:24.759 > [20] time consumed: 57
08:57:24.814 > [21] time consumed: 56
08:57:24.871 > [22] time consumed: 56
08:57:24.927 > [23] time consumed: 57
08:57:24.983 > [24] time consumed: 56
08:57:25.039 > [25] time consumed: 55
08:57:25.096 > [26] time consumed: 56
08:57:25.151 > [27] time consumed: 56
08:57:25.207 > [28] time consumed: 56
08:57:25.264 > [29] time consumed: 56
08:57:25.318 > [30] time consumed: 56
08:57:25.375 > [31] time consumed: 56
08:57:25.431 > [32] time consumed: 56
08:57:25.486 > [33] time consumed: 55
08:57:25.541 > [34] time consumed: 56
